Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"129 East","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075241/129-east,1.0,-1,Boulder,V0,1,6,42.49968,-70.9956
"Weekend Warrior","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908004/weekend-warrior,1.5,-1,Boulder,V0+,1,10,42.49968,-70.9956
Wanker,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908012/wanker,1.0,-1,Boulder,V2,1,10,42.49968,-70.9956
Punkass,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908017/punkass,1.0,-1,Boulder,V2,1,10,42.49968,-70.9956
Triangulation,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075228/triangulation,1.0,-1,Boulder,V2,1,,42.49968,-70.9956
"Slam Dunk","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107072462/slam-dunk,2.0,-1,Boulder,V2+,1,,42.49968,-70.9956
Treefingers,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107072470/treefingers,1.7,-1,Boulder,V4,1,,42.49968,-70.9956
"Liquid Nails","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106907983/liquid-nails,2.7,-1,Boulder,V8-,1,13,42.49968,-70.9956
"Natural Selection","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106907992/natural-selection,3.7,-1,Boulder,V8-,1,15,42.49968,-70.9956
Devolution,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117069999/devolution,3.0,-1,Boulder,V10,1,12,42.49968,-70.9956
"M. Curry","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106945846/m-curry,2.2,-1,Boulder,V2,1,,42.4988,-70.99573
"N. Sad Punk","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075345/n-sad-punk,2.0,-1,Boulder,V2-3,1,,42.4988,-70.99573
"B. Cold Fusion","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116973699/b-cold-fusion,2.3,-1,Boulder,V3,1,10,42.4988,-70.99573
"F. Weetamoo Jump","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114215568/f-weetamoo-jump,2.9,-1,Boulder,V3,1,15,42.4988,-70.99573
"A. Weetamoo Arete","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116973728/a-weetamoo-arete,0.7,-1,Boulder,V3,1,10,42.4988,-70.99573
"G. Coke","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908987/g-coke,2.7,-1,Boulder,V3+,1,15,42.4988,-70.99573
"J. College Boy","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908955/j-college-boy,1.0,-1,Boulder,V4,1,16,42.4988,-70.99573
"H. Cokes and Smokes","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908979/h-cokes-and-smokes,2.0,-1,Boulder,V4+,1,20,42.4988,-70.99573
"E. Dog Leg Crack (Stand)","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114312824/e-dog-leg-crack-stand,3.0,-1,Boulder,V5,1,15,42.4988,-70.99573
"D. Dog Leg Crack (SDS)","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908994/d-dog-leg-crack-sds,3.6,-1,Boulder,V6,1,18,42.4988,-70.99573
"L. Minotaur","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908939/l-minotaur,3.0,-1,Boulder,V7-,1,13,42.4988,-70.99573
"K. The Swell","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908947/k-the-swell,3.9,-1,Boulder,V7,1,14,42.4988,-70.99573
"I. Golden Arete","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908963/i-golden-arete,3.7,-1,Boulder,V7,1,18,42.4988,-70.99573
"Golden Swell","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117947133/golden-swell,3.7,-1,Boulder,V7,1,,42.4988,-70.99573
"C. Fusion","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909000/c-fusion,1.3,-1,Boulder,V8-,1,12,42.4988,-70.99573
"I. Border Patrol","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909448/i-border-patrol,3.1,-1,Boulder,V1,1,14,42.49872,-70.99608
